Row ID,Order ID,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Province,Region,Customer Segment,Product Category,Product Container,Product Base Margin,Customer Rating
1,3,Low,6,261.54,0.04,Regular Air,-213.25 Toman,38.94,35.0,Bushehr,East,Small Business,Office Supplies,Large Box,0.8,
49,293,High,49,10123.02,0.07,Delivery Truck,457.81 Toman,208.16,68.02,Bushehr,East,Consumer,Office Supplies,Jumbo Drum,0.58,
50,293,High,27,244.57,0.01,Regular Air,46.7075 Toman,8.69,2.99,Bushehr,East,Consumer,Office Supplies,Small Box,0.39,
80,483,High,30,4965.759499999999,0.08,Regular Air,1198.971 Toman,195.99,3.99,Bushehr,East,Corporate,Technology,Small Box,0.58,
85,515,Not Specified,19,394.27,0.08,,30.94 Toman,21.78,5.94,Bushehr,East,Consumer,Office Supplies,Medium Box,0.5,Average
86,515,Not Specified,21,146.69,0.05,Regular Air,4.43 Toman,6.64,4.95,Bushehr,East,Consumer,Furniture,Small Pack,0.37,
97,613,High,12,93.54,0.03,Regular Air,-54.0385 Toman,7.3,7.72,Bushehr,East,Corporate,Office Supplies,Small Box,0.38,Excellent
98,613,High,22,905.08,0.09,Regular Air,127.7 Toman,42.76,6.22,Bushehr,East,Corporate,Office Supplies,Small Box,,Average
107,678,Low,44,228.41,0.07,Regular Air,-226.36 Toman,4.98,8.33,Bushehr,East,Home Office,Office Supplies,Small Box,0.38,
127,807,Medium,45,196.85,0.01,Regular Air,-166.85 Toman,4.28,6.18,Bushehr,East,Home Office,Office Supplies,Small Box,0.4,Average
128,807,Medium,32,124.56,0.04,Regular Air,-14.33 Toman,3.95,2.0,Bushehr,East,Home Office,Office Supplies,Wrap Bag,0.53,
134,868,Not Specified,32,716.84,0.0,Regular Air,134.72 Toman,21.78,5.94,Bushehr,East,Home Office,Office Supplies,Medium Box,0.5,
135,868,Not Specified,31,1474.33,0.04,,114.46 Toman,47.98,3.61,Bushehr,East,Home Office,Technology,Small Pack,0.71,
149,933,Not Specified,15,80.61,0.02,Regular Air,-4.715 Toman,5.28,2.99,Bushehr,East,Small Business,Office Supplies,Small Box,0.37,
160,995,Medium,46,1815.49,0.03,Regular Air,782.91 Toman,39.89,3.04,Bushehr,East,Home Office,Furniture,Wrap Bag,0.53,
161,998,Not Specified,16,248.26,0.07,Regular Air,93.8 Toman,15.74,1.39,Bushehr,East,Small Business,Office Supplies,Small Box,0.4,
176,1154,Critical,11,663.7840000000001,0.25,Regular Air,-481.041 Toman,71.37,69.0,Bushehr,East,Home Office,Furniture,Large Box,0.68,
204,1344,Low,18,2480.9205,0.01,Regular Air,313.57800000000003 Toman,155.99,8.99,Bushehr,East,Corporate,Technology,Small Box,0.58,Excellent
213,1412,Not Specified,13,59.03,0.1,Express Air,26.92 Toman,3.69,0.5,Bushehr,East,Consumer,Office Supplies,Small Box,0.38,
214,1412,Not Specified,21,97.48,0.05,Regular Air,-5.77 Toman,4.71,0.7,Bushehr,East,Consumer,Office Supplies,Wrap Bag,0.8,
230,1539,Low,38,184.99,0.05,Regular Air,-144.55 Toman,4.89,4.93,Bushehr,East,Corporate,Technology,Small Pack,0.66,
231,1540,High,30,80.9,0.09,Regular Air,5.76 Toman,2.88,0.7,Bushehr,East,Home Office,Office Supplies,Wrap Bag,0.56,
250,1761,High,25,12028.23,0.01,Delivery Truck,-547.61 Toman,449.99,49.0,Bushehr,East,Corporate,Technology,Jumbo Drum,0.38,
256,1792,Low,28,370.48,0.04,Regular Air,-5.45 Toman,13.48,4.51,Bushehr,East,Consumer,Office Supplies,Small Box,0.59,
330,2275,Not Specified,49,278.0,0.08,Regular Air,41.67 Toman,6.08,1.17,Bushehr,East,Small Business,Office Supplies,Wrap Bag,0.56,
331,2277,Not Specified,10,66.54,0.01,Regular Air,-46.03 Toman,5.98,4.38,Bushehr,East,Home Office,Technology,Small Pack,0.75,Excellent
